date,day,month,year,daily_confirmed_cases,daily_deaths,confirmed_cases,deaths,countries_and_territories,geo_id,country_territory_code,pop_data_2018
2019-12-31,31,12,2019,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-01,1,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-02,2,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-03,3,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-04,4,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-05,5,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-06,6,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-07,7,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-08,8,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-09,9,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-10,10,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-11,11,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-12,12,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-13,13,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-14,14,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-15,15,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-16,16,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-17,17,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-18,18,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-19,19,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-20,20,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-21,21,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-22,22,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-23,23,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-24,24,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-25,25,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-26,26,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-27,27,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-28,28,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-29,29,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-30,30,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-31,31,1,2020,2,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-01,1,2,2020,0,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-02,2,2,2020,0,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-03,3,2,2020,0,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-04,4,2,2020,0,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-05,5,2,2020,0,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-06,6,2,2020,0,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-07,7,2,2020,1,0,3,0,United_Kingdom,UK,GBR,66488991
2020-02-08,8,2,2020,0,0,3,0,United_Kingdom,UK,GBR,66488991
2020-02-09,9,2,2020,1,0,4,0,United_Kingdom,UK,GBR,66488991
2020-02-10,10,2,2020,0,0,4,0,United_Kingdom,UK,GBR,66488991
2020-02-11,11,2,2020,4,0,8,0,United_Kingdom,UK,GBR,66488991
2020-02-12,12,2,2020,0,0,8,0,United_Kingdom,UK,GBR,66488991
2020-02-13,13,2,2020,1,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-14,14,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-15,15,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-16,16,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-17,17,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-18,18,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-19,19,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-20,20,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-21,21,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-22,22,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-23,23,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-24,24,2,2020,4,0,13,0,United_Kingdom,UK,GBR,66488991
2020-02-25,25,2,2020,0,0,13,0,United_Kingdom,UK,GBR,66488991
2020-02-26,26,2,2020,0,0,13,0,United_Kingdom,UK,GBR,66488991
2020-02-27,27,2,2020,0,0,13,0,United_Kingdom,UK,GBR,66488991
2020-02-28,28,2,2020,3,0,16,0,United_Kingdom,UK,GBR,66488991
2020-02-29,29,2,2020,2,0,18,0,United_Kingdom,UK,GBR,66488991
2020-03-01,1,3,2020,5,0,23,0,United_Kingdom,UK,GBR,66488991
2020-03-02,2,3,2020,13,0,36,0,United_Kingdom,UK,GBR,66488991
2020-03-03,3,3,2020,4,0,40,0,United_Kingdom,UK,GBR,66488991
2020-03-04,4,3,2020,11,0,51,0,United_Kingdom,UK,GBR,66488991
2020-03-05,5,3,2020,34,0,85,0,United_Kingdom,UK,GBR,66488991
2020-03-06,6,3,2020,30,1,115,1,United_Kingdom,UK,GBR,66488991
2020-03-07,7,3,2020,48,0,163,1,United_Kingdom,UK,GBR,66488991
2020-03-08,8,3,2020,43,1,206,2,United_Kingdom,UK,GBR,66488991
2020-03-09,9,3,2020,67,1,273,3,United_Kingdom,UK,GBR,66488991
2020-03-10,10,3,2020,48,2,321,5,United_Kingdom,UK,GBR,66488991
2020-03-11,11,3,2020,52,1,373,6,United_Kingdom,UK,GBR,66488991
2020-03-12,12,3,2020,83,0,456,6,United_Kingdom,UK,GBR,66488991
2020-03-13,13,3,2020,134,4,590,10,United_Kingdom,UK,GBR,66488991
2020-03-14,14,3,2020,117,0,707,10,United_Kingdom,UK,GBR,66488991
2020-03-15,15,3,2020,433,11,1140,21,United_Kingdom,UK,GBR,66488991
2020-03-16,16,3,2020,251,14,1391,35,United_Kingdom,UK,GBR,66488991
2020-03-17,17,3,2020,152,20,1543,55,United_Kingdom,UK,GBR,66488991
2020-03-18,18,3,2020,407,5,1950,60,United_Kingdom,UK,GBR,66488991
2020-03-19,19,3,2020,680,43,2630,103,United_Kingdom,UK,GBR,66488991
2020-03-20,20,3,2020,647,41,3277,144,United_Kingdom,UK,GBR,66488991
2020-03-21,21,3,2020,706,33,3983,177,United_Kingdom,UK,GBR,66488991
2020-03-22,22,3,2020,1035,56,5018,233,United_Kingdom,UK,GBR,66488991
2020-03-23,23,3,2020,665,48,5683,281,United_Kingdom,UK,GBR,66488991
2020-03-24,24,3,2020,967,54,6650,335,United_Kingdom,UK,GBR,66488991
2020-03-25,25,3,2020,1427,87,8077,422,United_Kingdom,UK,GBR,66488991
2020-03-26,26,3,2020,1452,41,9529,463,United_Kingdom,UK,GBR,66488991
2020-03-27,27,3,2020,2129,115,11658,578,United_Kingdom,UK,GBR,66488991
2020-03-28,28,3,2020,2885,181,14543,759,United_Kingdom,UK,GBR,66488991
2020-03-29,29,3,2020,2546,260,17089,1019,United_Kingdom,UK,GBR,66488991
2020-03-30,30,3,2020,2433,209,19522,1228,United_Kingdom,UK,GBR,66488991
2020-03-31,31,3,2020,2619,180,22141,1408,United_Kingdom,UK,GBR,66488991
2020-04-01,1,4,2020,3009,381,25150,1789,United_Kingdom,UK,GBR,66488991
2020-04-02,2,4,2020,4324,743,29474,2532,United_Kingdom,UK,GBR,66488991
2020-04-03,3,4,2020,4244,389,33718,2921,United_Kingdom,UK,GBR,66488991
2020-04-04,4,4,2020,4450,684,38168,3605,United_Kingdom,UK,GBR,66488991
2020-04-05,5,4,2020,3735,708,41903,4313,United_Kingdom,UK,GBR,66488991
2020-04-06,6,4,2020,5903,621,47806,4934,United_Kingdom,UK,GBR,66488991
2020-04-07,7,4,2020,3802,439,51608,5373,United_Kingdom,UK,GBR,66488991
2020-04-08,8,4,2020,3634,786,55242,6159,United_Kingdom,UK,GBR,66488991
2020-04-09,9,4,2020,5491,938,60733,7097,United_Kingdom,UK,GBR,66488991
2020-04-10,10,4,2020,4344,881,65077,7978,United_Kingdom,UK,GBR,66488991
2020-04-11,11,4,2020,5195,980,70272,8958,United_Kingdom,UK,GBR,66488991
2020-04-12,12,4,2020,8719,917,78991,9875,United_Kingdom,UK,GBR,66488991
2020-04-13,13,4,2020,5288,737,84279,10612,United_Kingdom,UK,GBR,66488991
2020-04-14,14,4,2020,4342,717,88621,11329,United_Kingdom,UK,GBR,66488991
2020-04-15,15,4,2020,5252,778,93873,12107,United_Kingdom,UK,GBR,66488991
2020-04-16,16,4,2020,4603,761,98476,12868,United_Kingdom,UK,GBR,66488991
2020-04-17,17,4,2020,4617,861,103093,13729,United_Kingdom,UK,GBR,66488991
2020-04-18,18,4,2020,5599,847,108692,14576,United_Kingdom,UK,GBR,66488991
2020-04-19,19,4,2020,5525,888,114217,15464,United_Kingdom,UK,GBR,66488991
